Date,Country,Area,Location,Sex,Fatal
2023-07-04,USA,New York,"Cherry Grove, Suffolk County",F,False
2022-02-05,AUSTRALIA,Western Australia,"Beds, Wylie Bay, Esperance",F,False
2022-01-09,NEW ZEALAND,South Island,"Friendly Bay, Oamaru",F,False
2022-01-01,AUSTRALIA,Western Australia,North Lancelin,M,False
2021-07-27,USA,North Carolina,Wrightsville Beach,M,False
2021-07-21,USA,Florida,"Near Patrick AFB, Brevard County",F,False
2021-07-04,USA,BAHAMAS,,F,False
2021-06-30,USA,California,"Catalina Island, Orange County",M,False
2021-04-14,SOUTH AFRICA,KwaZulu-Natal,Mdloti,M,False
2020-09-15,USA,Florida,"Melbourne Beach, Brevard County",M,False
2020-08-01,USA,North Carolina,"Surf City, Pender County",M,False
2020-07-19,USA,Florida,"Cocoa Beach, Brevard  County",F,False
2020-06-06,AUSTRALIA,Western Australia,"Tantabitti Beach, Nigaloo",F,
2019-11-06,USA,California,"San Onofre, San Diego County",F,False
2019-05-17,FIJI,,Beqa,M,False
2018-02-18,USA,California,"Dog Beach, Huntington Beach",M,False
2018-09-01,IRELAND,County Cork,,M,False
2018-07-07,USA,Florida,"John Pennekamp Coral Reef State Park, Monroe County",M,False
2018-06-03,AUSTRALIA,New South Wales,"Flat Rock, Ballina",M,False
2018-04-25,AUSTRALIA,Western Australia,"Surfers Point, Prevelly",M,False
2018-04-22,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",M,False
2017-09-24,USA,Florida,Fort Worth,M,False
2017-09-03,JAPAN,Shizuoka Prefecture,Iwata City,M,False
2017-08-26,SPAIN,Castellón,Grao de Moncofa,F,
2017-01-05,USA,Florida,"Blockhouse Beach, Brevard County",M,False
2016-12-06,AUSTRALIA,New South Wales,Merimbula,M,False
2016-06-11,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",M,False
2016-06-05,AUSTRALIA,Western Australia,Mindarie,F,True
2016-03-26,BAHAMAS,,,M,False
2016-03-04,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",M,False
2016-02-22,NEW CALEDONIA,South Province,"Ricaudy Reef, Noumea",M,False
2016-01-23,USA,Hawaii,"Wailea Beach, Maui",M,False
2015-10-25,SOUTH AFRICA,Western Cape Province,Stil Bay,M,False
2015-09-19,USA,California,"Gaviota State Beach, Santa Barbara County",M,False
2015-07-31,AUSTRALIA,New South Wales,Evans Head,M,False
2015-07-10,USA,California,"Huntington Beach, Orange County",M,False
2015-06-26,USA,South Carolina,"South Beach, Hunting Island State Park, Beaufort County",M,False
2015-03-10,MEXICO,Sinaloa,Mazlatan,M,False
2015-01-06,BAHAMAS,Abaco Islands,"Tahiti Beach, Elbow Cay",F,False
2014-10-11,AUSTRALIA,Western Australia,"Castle Rock, north of Dunsborough",M,False
2014-05-22,AUSTRALIA,New South Wales,The Australian Shark and Ray Centre,M,False
2014-04-22,USA,Florida,"Cocoa Beach, Brevard  County",M,False
2014-03-13,CAYMAN ISLANDS,,,M,
2014-01-25,NEW ZEALAND,South Island,Garden Bay near Cosy Nook,M,False
2013-12-13,KIRIBATI,740 miles SE of Tarawa Atoll,,M,False
2013-09-01,BAHAMAS,,,M,False
2013-08-25,AUSTRALIA,New South Wales,Smiths,M,False
2013-05-27,USA,Florida,"Ormond Beach, Volusia County",M,False
2013-05-08,REUNION ISLAND,Saint-Gilles,Brisant Beach,M,True
2013-04-13,USA,Florida,"New Smyrna Beach, Volusia County",M,False
2012-10-23,USA,California,"Surf Beach, Lompoc, Santa Barbara County",M,True
2012-06-12,AUSTRALIA,Victoria,Port Campbell,M,False
2012-04-19,USA,Florida,"Indialantic, Brevard County",M,False
2012-03-06,NEW ZEALAND,North Island,"Opunake, Taranake",M,False
2012-03-03,SAUDI ARABIA,Tabuk Province,Off Duba,M,
2012-01-22,BAHAMAS,,Cat Island,M,False
2012-01-18,AUSTRALIA,New South Wales,Redhead Beach,M,False
2011-12-31,USA,Florida,"Jupiter, Palm Beach County",M,False
2011-10-22,AUSTRALIA,Western Australia,Rottnest Island,M,True
2011-10-19,AUSTRALIA,Victoria,Elwood Beach,M,False
2011-10-11,USA,Florida,Cape Canaveral,M,False
2011-08-23,SOUTH AFRICA,Western Cape Province,"Lookout Beach, near the Keurbooms river mouth in Plettenberg Bay",M,True
2011-07-19,USA,North Carolina,"Ocracoke Island, Hyde County",F,False
2011-07-05,COLOMBIA,Sucre,"Libertad, San Onofre",M,False
2011-02-28,AUSTRALIA,Queensland,Between,M,False
2010-11-30,EGYPT,South Sinai Peninsula,"Coral Bay, Sharm el-Sheikh",F,False
2010-11-30,EGYPT,South Sinai Peninsula,"Coral Bay, Sharm el-Sheikh",F,False
2010-08-05,USA,Florida,"Bethune Beach, Volusia County",F,
2009-12-18,SOUTH AFRICA,KwaZulu-Natal,"North Beach, Durban",M,
2009-08-10,USA,Florida,"Ponce, Volusia County",M,False
2009-01-27,AZORES,,Onboard the fishing vessel Nuevo Cedes,M,False
2008-10-06,CROATIA,"Split-Dalmatia Count,","Smokvina Bay, Vis Island",M,False
2008-08-24,USA,North Carolina,"Surf City, Topsail Island, Pender County",F,
2008-08-16,USA,US Virgin Islands,Buck Island,F,False
2008-08-11,USA,Hawaii,"Ala Moana Beach Park, Oah'u",M,False
2008-07-24,USA,North Carolina,"Surf City, Topsail Island, Pender County",M,False
2008-06-01,BRAZIL,Pernambuco,"Piedade, Recife",M,False
2008-03-28,USA,Florida,"Near Cocoa Beach, Brevard  County",M,False
2007-11-03,SOUTH AFRICA,Eastern Cape Province,Bonza Bay,M,False
2007-08-28,USA,Hawaii,"Ka'a'awa, Oahu",M,False
2007-08-19,USA,Florida,"Islamorada Founder's Park, Plantation Key, Monroe County",M,False
2006-10-10,USA,Florida,"Daytona Beach, Volusia County",M,False
2006-02-27,USA,Hawaii,"Makena, Maui",F,False
2005-07-17,LIBERIA,,,M,
2005-06-04,SOUTH AFRICA,Western Cape Province,Miller's Point,M,True
2004-11-26,SOUTH AFRICA,Eastern Cape Province,Gonubie,M,False
2004-11-11,USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",lli,False
2004-10-09,USA,Hawaii,Moloka'i,M,False
2004-10-01,USA,California,"Lifeguard Tower 16, Huntington Beach, Orange County",M,False
2004-09-10,USA,Texas,South Padre Island,M,
2004-08-20,USA,California,"204s, San Clemente, Orange County",M,False
2004-06-26,USA,California,"San Onofre State Beach, San Diego County",M,False
2004-01-21,VENEZUELA,Anzoategui,"Santa Cruz Beach, Mochima National Park, 250 km from Caracas",M,False
2003-10-31,AUSTRALIA,New South Wales,"Lighthouse Beach, Seal Rocks",M,False
2003-07-15,USA,Florida,"Daytona Beach, Volusia County",F,False
2003-04-15,USA,Florida,"Cocoa Beach, Brevard County",M,False
2003-01-02,AUSTRALIA,Western Australia,Left break at the ‘Hot Spot’ at Sheringa Beach,F,False
2001-04-12,USA,Florida,"New Smyrna Beach, Volusia County",M,False
2000-12-05,CANADA,New Brunswick,Bay of Fundy,M,False
2000-03-26,USA,Florida,"Juno Beach, Palm Beach County",F,False
1998-08-12,SOUTH AFRICA,Transvaal,"National Zoological Gardens Aquarium, Pretoria",M,False
1997-07-27,AUSTRALIA,Queensland,"Pincushion, north of Maroochydore Beach",M,False
1997-06-15,FIJI,Taveuni,Off a small island 5 km from Garden Island Resort,F,False
1997-02-28,AUSTRALIA,Queensland,"Carrara, Nerang River",F,False
1996-10-28,BRAZIL,Pernambuco,Barra de Jangada,M,False
1996-02-09,PAPUA NEW GUINEA,Madang Province,Madang,M,True
1996-01-10,REUNION ISLAND,Saint-Paul,Embouchure de l'étang de Saint Paul,M,True
1995-07-06,USA,Texas,Port Aransas,M,False
1994-01-09,AUSTRALIA,Queensland,"Katana Downs Reach, Brisbane River",M,False
1993-05-01,SOMALIA,Banaadir Region,"Arroyo Beach, Mogadishu",F,True
1992-11-14,USA,California,"Ano Nuevo, San Mateo County",M,False
1992-07-21,USA,Florida,"Manasota Beach, Sarasota County",F,False
1991-09-08,AUSTRALIA,South Australia,"Snapper Point, Aldinga Beach, Adelaide",M,True
1990-12-26,SOUTH AFRICA,Eastern Cape Province,Port Elizabeth,M,
1990-09-08,USA,California,"Russian Gulch, Jenner, Sonoma County",M,False
1989-08-06,AUSTRALIA,Queensland,Moreton Bay,M,False
1989-06-17,USA,Louisiana,40 miles off Cocodrie,M,False
1988-10-01,USA,Florida,"Sanibel Island, Lee County",F,False
1988-09-21,PAPUA NEW GUINEA,New Ireland,Between Nago and Makau,M,True
1988-07-19,BAHAMAS,,,M,False
1987-06-13,USA,Florida,"Nest Key, Monroe County",M,False
1986-02-18,SOUTH AFRICA,Eastern Cape Province,East London,M,False
1985-09-08,USA,Florida,"Palm Beach, Palm Beach County",M,False
1985-07-25,USA,Florida,"New Smyrna Beach, Volusia County",M,False
1985-01-01,VANUATU,Malampa Province,"Port Sandwich Bay, Lamap, Malakula",M,True
1984-10-21,USA,Florida,"3 miles south of Sebastian Inlet State Park, Indian River County",F,False
1984-10-14,USA,Florida,"Bob Graham Beach, Martin County",M,False
1984-09-30,USA,California,"Tomales Point, Marin County",M,False
1983-08-13,USA,Florida,"6 miles south of Boca Chica Key, Monroe County",F,False
1983-07-25,AUSTRALIA,Queensland,"Off Lodestone Reef, Great Barrier Reef, north of Townsville",M,True
